State,District,Population,Males,Females,Growth from1991 to 2001.,Number.of.households,Household.size..per.household.,Sex ratio of females per 1000 males,Sex ratio for age 0-6 years,Percentage.to.total.population..ST.,Religion1.Name,Religion1.Population,Religion2.Name,Religion2.Population,Religion3.Name,Religion3.Population,Population literacy,Male Literacy,Female Literacy,Population Literacy Rate,Male Literacy Rate,Female Literacy Rate,Total People Educated,Data.without.level,Below Primary School,Primary School,Middle School,Population completed 10th Grade,Population Graduates,Age from 0-4 years,Age from 5-14 years,Age from 15-59 years,Age 60 and above,Total Workers,Main.workers,Marginal.workers,Non.workers,Total Inhabited Villages,Drinking water facilities,Safe Drinking water,Electricity Power Supply,Primary school,Middle schools,Secondary Senior schools,PermanentHouse,Semi permanent House,Temporary House
Madhya Pradesh,"District Dindori * (41), Madhya Pradesh (23)",580730,291716,289014,13.23,125459,5,991,989,64.48,Hindus,465958,Others,104993,Muslims,5498,261764,169782,91982,54.17,69.95,38.24,261764,16392,97126,76196,38565,26381,7091,64591,147479,325012,43648,330907,260447,70460,249823,902,895,883,775,799,184,89,38.2,59.9,2
Madhya Pradesh,"District Mandla (42), Madhya Pradesh (23)",894236,447956,446280,14.66,190035,5,996,980,57.23,Hindus,784274,Others,86203,Muslims,13280,446998,276499,170499,59.61,73.72,45.49,446998,20978,168114,121692,60369,56676,19150,96354,225471,499062,73349,464397,322151,142246,429839,1213,1177,1171,1047,1140,287,105,22.9,75.4,1.7
Madhya Pradesh,"District Chhindwara (43), Madhya Pradesh (23)",1849283,947337,901946,17.86,354907,5,952,958,34.68,Hindus,1713457,Muslims,90548,Buddhists,25471,1020599,607698,412901,65.81,76.45,54.63,1020599,48521,371506,264193,128871,157362,50077,204124,485819,1012361,146979,779533,559318,220215,1069750,1906,1885,1883,1882,1675,464,290,25,72.3,2.6
Madhya Pradesh,"District Seoni (44), Madhya Pradesh (23)",1166608,588750,577858,16.49,231959,5,981,977,36.78,Hindus,962741,Others,124312,Muslims,65890,636216,377563,258653,65.61,77.18,53.82,636216,23498,240749,190243,82155,74325,25158,135251,302071,644351,84935,569060,380973,188087,597548,1584,1571,1571,1550,1461,400,130,23.7,75.2,1.1
Madhya Pradesh,"District Balaghat (45), Madhya Pradesh (23)",1497968,740749,757219,5.85,310067,5,1022,967,21.8,Hindus,1340617,Buddhists,67169,Others,44426,870688,502654,368034,68.72,80.63,57.18,870688,14401,303327,260633,137143,119334,35809,158709,363695,858308,117256,753581,493229,260352,744387,1285,1274,1274,1169,1165,378,187,10.3,87.7,2.1
Nagaland,"District Mon (01), Nagaland (13)",260652,138753,121899,73.42,34922,7,879,973,93.93,Christians,248684,Hindus,9963,Muslims,1748,92726,55404,37322,41.83,46.56,36.35,92726,2682,27745,31478,17350,12159,1310,25163,71182,147364,16943,130848,108206,22642,129804,110,110,106,102,107,60,13,4.9,15.5,79.2
Nagaland,"District Tuensang (02), Nagaland (13)",414818,218678,196140,78.1,60780,7,897,957,96.03,Christians,406287,Hindus,6856,Muslims,1329,180186,103932,76254,50.64,55.12,45.58,180186,8279,37805,54957,37755,37510,3871,37085,119069,237662,21002,184924,156950,27974,229894,251,251,234,238,230,111,40,2.1,51.1,46.8
Nagaland,"District Mokokchung (03), Nagaland (13)",232085,120929,111156,43.48,37330,6,919,988,93.78,Christians,219282,Hindus,10433,Muslims,2128,174982,93833,81149,83.92,86.03,81.61,174982,4189,28031,44197,39682,49330,9493,14662,54614,148477,14332,109260,82160,27100,122825,102,101,91,97,99,58,27,13.8,63.9,22.3
Nagaland,"District Zunheboto (04), Nagaland (13)",153955,79056,74899,61,26610,6,947,944,96.08,Christians,150097,Hindus,3193,Muslims,492,89139,48707,40432,69.28,73.74,64.57,89139,3287,16972,24222,18748,21949,3936,16331,44573,86039,7012,56783,47491,9292,97172,187,186,180,187,178,44,17,7.2,75.6,17.3
Nagaland,"District Wokha (05), Nagaland (13)",161223,83670,77553,95.01,25899,6,927,984,95.51,Christians,155009,Hindus,4787,Muslims,1209,112198,61979,50219,80.55,85.35,75.32,112198,2119,21182,30603,23216,29080,5988,13963,45765,95341,6154,56254,49679,6575,104969,128,128,114,105,104,32,13,20.7,58.5,20.8
